Time	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft
c	c	c	c	c	c	c	c	c	c	c	c	c
m												
2.83333300	173.057009758563	138.786047569970	171.039334397579	136.832076028242	178.227514664742	133.132886327841	172.568888259640	168.176300153363	142.939424296257	176.068323915603	133.642463787892	177.158345979650
2.86666700	173.003856877817	138.808788948789	171.892120484018	136.654325226400	178.274871193480	133.144017518574	172.428648763097	173.230570771120	142.347479764420	176.177405419961	133.682818315888	176.649964696210
2.90000000	173.036800232154	138.883880898792	174.140822092499	136.102286719378	178.339105415501	133.301640814168	172.026672161753	172.941713530662	141.956284095324	175.970406441815	133.654555629509	176.397903750650
2.93333300	172.972800511132	138.912795206859	174.759119729701	135.992472456389	178.342314594888	133.315488914864	171.971256801498	172.819024797393	141.642110234034	175.988446568871	133.667966978169	176.210189301356
2.96666700	173.059533981430	138.933933847080	175.178041778113	135.806609208252	178.357384714772	133.442343175508	171.825222637611	172.998287423155	141.502995103512	176.031955395281	133.647395547940	176.076628125028
3.00000000	173.165202392547	138.962714657995	175.690510599918	135.599590680261	178.350367410260	133.442395290999	171.679368027262	173.117759968903	141.439663941968	175.948481850435	133.719467333764	176.029241757960
3.03333300	173.221013787237	138.966626143388	175.927156534824	135.301241803544	178.357435496116	133.506579117602	171.455775367136	173.086805134419	141.230335381444	175.993341861990	133.684874699204	175.885354988885
3.06666700	173.355452406600	138.966268596756	176.253558174122	135.204207275893	178.466457984526	133.538204531732	171.388243872954	173.284000379348	141.222215710906	175.983979426085	133.677872848746	175.865898096298
3.10000000	173.487010804695	138.972405478978	176.305958414288	135.163770618407	178.521171324160	133.644509427537	171.376442697366	173.314572177212	141.180799135759	175.996771390208	133.571450251829	175.849156942841
3.13333300	173.489630474315	138.986035166424	174.658817711323	135.080930361864	178.537403159173	133.658344590377	171.341077957820	173.620057108375	141.129047295096	175.960473035493	133.562795312730	175.828398534256
